Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,date,country
17833,1.2,Ideal,H,VS2,60.8,55.0,7190.0,6.9,,4.18,2022-09-02,Marshall Islands
17834,1.2,Very Good,D,SI1,60.7,58.0,7191.0,6.81,6.86,4.15,2022-09-23,Korea (North)
17835,1.03,Premium,E,VS2,61.2,59.0,7192.0,6.53,6.47,3.98,2022-09-11,Bouvet Island
17836,1.02,Ideal,G,VS1,61.3,56.0,7192.0,6.49,6.53,3.99,2022-08-30,St.Pierre
17837,1.06,Ideal,H,VVS1,61.3,57.0,7193.0,6.55,6.53,4.01,2022-09-23,St.Pierre
17838,1.12,Ideal,G,VS2,62.2,54.0,7193.0,6.65,6.7,4.15,2022-09-06,Venezuela
17839,1.01,,E,VS2,60.6,59.0,7195.0,6.43,6.47,3.91,2022-09-06,Netherlands
17840,1.21,Very Good,H,VS1,60.4,59.0,7196.0,6.88,6.97,4.18,2022-09-21,United States
17841,1.02,Premium,F,VS1,60.5,56.0,7197.0,6.61,6.52,,2022-09-07,Seychelles
17842,1.7,Ideal,H,I1,62.6,54.0,7197.0,7.63,7.58,4.77,2022-08-30,Guadeloupe
17843,1.02,Good,F,VS1,63.7,57.0,7197.0,6.39,6.35,4.06,2022-09-19,Estonia
17844,1.02,Good,F,VS1,57.9,59.0,7197.0,6.64,6.59,3.83,2022-09-05,Panama
17845,1.36,Good,F,SI1,,60.0,7197.0,7.36,7.31,4.22,2022-09-25,Guam
17846,1.01,Ideal,E,,61.6,57.0,7198.0,6.43,6.46,3.97,2022-09-23,Lebanon
17847,1.07,Ideal,G,VS1,61.8,55.0,7198.0,6.59,6.55,4.06,,Saint Lucia
17848,1.07,Ideal,G,VS1,62.0,56.0,7198.0,6.58,6.52,4.06,2022-09-05,Angola
17849,1.14,Ideal,G,VS2,61.9,56.0,7199.0,6.69,6.71,4.14,2022-09-22,Djibouti
17850,,,D,VS2,63.9,56.0,7200.0,6.34,6.31,4.04,2022-09-13,El Salvador
17851,1.22,Good,H,VS2,63.8,55.0,7201.0,6.77,6.71,4.3,2022-09-16,Kiribati
17852,1.21,Premium,E,SI1,62.6,58.0,7203.0,6.79,6.82,4.26,2022-09-25,Nicaragua
17853,1.21,Very Good,H,SI1,59.6,60.0,7203.0,6.93,6.94,4.13,2022-09-06,Ghana
17854,1.16,Ideal,G,VS2,62.3,,7203.0,6.72,6.66,4.17,2022-09-05,Denmark
17855,1.47,Premium,J,VS2,61.5,58.0,,7.31,7.29,4.49,2022-09-28,Cote D`ivoire
17856,1.16,Premium,G,VS2,59.9,60.0,7203.0,6.88,6.85,4.11,2022-09-15,Norfolk Island
17857,1.0,Very Good,F,VS1,60.4,59.0,7204.0,6.4,,3.9,2022-09-25,Costa Rica
17858,1.33,Premium,H,SI1,61.1,61.0,7204.0,7.05,7.02,4.3,2022-09-18,Guadeloupe
17859,1.0,Premium,F,VVS2,61.9,61.0,7204.0,6.45,6.32,3.95,2022-09-16,Vatican City State
17860,2.0,Ideal,H,,62.5,57.0,7204.0,8.05,,5.01,2022-08-30,Macedonia
17861,1.04,Very Good,F,VS1,63.0,56.0,7207.0,,6.5,4.08,2022-09-01,Romania
17862,1.19,Ideal,I,IF,61.7,56.0,7207.0,6.78,,4.19,2022-09-05,Greenland
17863,1.51,Good,J,VS2,,59.0,7207.0,7.12,7.2,,2096-05-09,Liberia
17864,1.5,Good,I,SI1,64.2,56.0,7207.0,7.25,7.14,4.62,,Czech Republic
17865,1.51,Good,,,63.7,59.0,7208.0,7.15,7.26,4.59,2022-09-14,
17866,1.04,Ideal,E,SI1,61.8,56.0,7208.0,6.49,6.53,4.02,2022-08-31,Uruguay
17867,1.32,Ideal,I,VS2,60.8,57.0,7209.0,7.07,7.02,4.28,2022-09-08,Azerbaijan
17868,1.01,Ideal,F,VS1,63.2,56.0,7209.0,6.35,6.41,,2022-09-24,Chile
17869,1.24,,H,VS2,58.3,58.0,7210.0,7.09,7.15,4.15,2022-09-16,Canada
17870,1.5,Very Good,I,SI2,63.4,58.0,7211.0,7.15,7.21,4.55,2022-09-09,Hungary
17871,1.5,Fair,H,SI1,65.9,,7211.0,7.11,7.04,4.66,2022-09-11,Greenland
17872,1.03,Ideal,G,VS1,62.2,59.0,7211.0,6.48,6.42,4.01,2022-09-12,Greece
17873,1.15,Premium,D,SI1,61.1,53.0,7213.0,6.83,6.76,4.15,2092-07-19,Belarus
17874,1.4,Ideal,H,SI2,61.2,56.0,7213.0,7.23,7.18,4.41,2022-09-19,French S. Territories
17875,1.42,Fair,G,VS2,59.6,66.0,7214.0,7.31,7.23,4.33,2022-09-15,Ghana
17876,0.9,Good,E,VVS1,63.4,60.0,7214.0,6.06,6.11,3.86,2022-09-26,Saint Kitts And Nevis
17877,1.0,Very Good,G,VVS2,60.7,56.0,7215.0,6.5,6.51,3.95,2022-09-13,Liberia
17878,1.41,Very Good,F,SI2,61.4,59.0,7215.0,7.17,,,2022-09-25,Angola
17879,1.22,Ideal,E,SI1,61.7,56.0,7215.0,6.92,6.88,4.26,2022-09-24,Tajikistan
17880,1.5,Good,G,SI2,63.7,58.0,7216.0,7.15,7.22,4.58,2022-09-08,Martinique
17881,1.18,Ideal,H,VS1,64.9,58.0,7216.0,6.57,6.53,4.25,2022-09-27,Hungary
17882,1.18,Ideal,D,SI1,61.9,55.0,7216.0,6.8,6.76,4.2,2022-09-05,Peru
17883,1.33,Ideal,H,SI1,62.7,56.0,7217.0,7.04,6.99,4.4,2022-09-13,Fiji
17884,1.36,Ideal,I,SI1,62.0,56.0,7218.0,7.08,7.11,4.4,2022-09-18,Kenya
17885,1.11,Ideal,E,SI1,62.1,55.0,7218.0,6.66,6.68,4.14,2022-09-07,Guadeloupe
17886,1.27,Premium,H,VS2,62.1,60.0,7219.0,6.94,6.88,4.29,,Burkina Faso
17887,1.27,Ideal,H,VS2,60.3,,7219.0,7.08,7.02,4.25,2022-09-20,Austria
17888,1.01,Premium,G,IF,61.3,58.0,7220.0,6.4,6.48,3.95,2022-09-25,Suriname
17889,1.04,Ideal,D,VS2,61.9,55.0,7220.0,,6.52,4.03,2022-09-24,Madagascar
17890,1.07,Ideal,G,VS1,61.4,57.0,7222.0,6.57,6.6,4.04,2022-08-30,Macau
17891,1.24,Premium,H,VS1,62.2,59.0,7222.0,6.9,6.83,4.27,2022-09-18,Antarctica
17892,1.24,Ideal,H,VS1,62.6,54.0,7222.0,6.88,6.84,4.29,2022-09-22,Northern Mariana Islands
17893,1.24,Ideal,H,VS1,63.0,56.0,7222.0,6.87,6.82,,2022-09-04,Jamaica
17894,1.0,Ideal,G,VS1,62.5,54.0,7223.0,6.41,6.45,4.02,,Cook Islands
17895,1.21,Premium,H,VS1,62.3,58.0,7223.0,6.84,6.77,4.24,2022-09-25,Turkmenistan
17896,1.4,Premium,G,SI2,62.0,60.0,7225.0,7.1,7.16,4.42,,Netherlands Antilles
17897,1.01,Very Good,G,VVS2,59.7,59.0,7226.0,6.5,6.56,3.9,2022-09-26,Finland
17898,2.3,Premium,G,I1,,59.0,7226.0,8.71,8.56,5.19,2022-09-17,Andorra
17899,1.0,Good,E,VVS2,65.3,56.0,7226.0,6.19,6.24,4.06,2022-09-08,Colombia
17900,1.25,,H,VS2,62.9,60.0,7227.0,6.77,6.83,4.28,2022-09-26,Bolivia
17901,1.09,Ideal,G,VS2,60.6,57.0,7227.0,6.68,6.73,,2022-09-11,Haiti
17902,1.01,Ideal,F,VS2,61.6,56.0,7229.0,6.48,6.45,3.98,2022-09-16,Yemen
17903,1.63,Ideal,F,I1,62.0,55.0,7229.0,7.57,7.5,4.68,2022-09-08,Brazil
17904,1.34,Very Good,D,SI2,62.3,59.0,7230.0,6.99,7.03,4.37,,Israel
17905,0.85,Ideal,D,VVS1,62.0,56.0,7230.0,6.05,6.11,3.77,2022-09-19,Ireland
17906,1.26,,G,SI1,61.3,57.0,7230.0,6.94,6.99,4.27,2022-09-05,Tonga
17907,1.21,Ideal,E,SI1,62.2,54.1,7231.0,6.82,6.86,4.26,2022-09-13,Cambodia
17908,1.07,Premium,F,VS1,62.4,58.0,7232.0,6.52,6.49,4.06,2022-09-18,Kuwait
17909,1.51,Good,I,SI1,63.9,63.0,7233.0,7.17,7.2,4.59,2022-08-30,Zambia
17910,1.03,Very Good,F,VS1,62.2,57.0,7233.0,6.47,6.51,4.04,2022-09-20,Paraguay
17911,1.38,Premium,H,VS1,61.0,60.0,7233.0,7.21,7.16,4.38,2022-09-05,Papua New Guinea
17912,,Good,E,VS1,63.4,58.0,7234.0,6.36,6.38,4.04,2022-09-16,Oman
17913,1.01,Very Good,G,VVS2,63.0,59.0,7234.0,6.25,6.38,3.98,2022-09-20,Kazakhstan
17914,,Very Good,G,VVS2,,58.0,7234.0,6.38,6.42,4.02,2022-09-02,Yemen
17915,1.01,Very Good,G,VVS2,59.4,58.0,7234.0,6.51,6.53,3.93,2022-09-12,Brunei Darussalam
17916,1.51,Premium,H,SI2,59.4,62.0,7235.0,7.47,7.31,4.39,2090-06-12,Rwanda
17917,1.2,Ideal,H,VS2,62.4,56.6,7235.0,6.74,6.8,4.22,2022-09-13,Antigua And Barbuda
17918,1.7,Very Good,H,SI2,63.5,58.0,7235.0,7.5,7.43,4.74,2022-09-22,Burkina Faso
17919,1.0,Premium,,IF,60.6,57.0,7235.0,6.54,6.47,3.94,2022-09-07,Libya
17920,1.21,Ideal,H,VS2,62.4,59.0,7236.0,,6.79,4.24,2022-09-21,Martinique
17921,1.31,Good,I,VS2,62.5,56.0,7236.0,7.03,6.98,4.38,2022-09-03,Greece
17922,1.09,Ideal,F,VS2,61.2,56.0,7238.0,6.68,6.65,4.08,2022-09-17,Syrian Arab Republic
17923,1.39,Premium,J,VS1,60.8,58.0,7239.0,7.26,7.21,4.4,2022-09-07,Sao Tome
17924,1.52,Very Good,J,,62.3,57.0,,7.32,7.38,4.58,2085-09-19,Djibouti
17925,1.01,Premium,F,VS2,61.7,58.0,7240.0,6.47,6.43,3.98,2022-09-25,China
17926,1.07,Ideal,E,VS2,61.8,58.0,7240.0,6.53,6.61,4.06,2022-09-24,Argentina
17927,1.01,Ideal,E,VS2,59.3,57.0,7240.0,6.57,6.51,3.88,2022-09-10,Luxembourg
17928,1.53,Ideal,G,SI2,61.7,57.0,7240.0,7.44,7.41,4.58,2022-09-14,Saint Lucia
17929,1.01,Premium,E,VS2,58.0,61.0,7240.0,6.53,,3.94,2022-09-05,Malawi
17930,1.01,Premium,E,VS2,59.3,58.0,7240.0,6.53,6.49,3.86,2022-09-08,Chile
17931,1.01,Ideal,F,,62.2,57.0,7240.0,6.48,6.39,4.0,2022-09-18,Norfolk Island
17932,1.0,Very Good,G,VVS2,,59.0,7242.0,6.34,6.45,3.97,2022-09-01,Mexico
17933,1.2,Ideal,G,,62.8,57.0,7243.0,6.78,6.72,4.24,2022-09-19,Sri Lanka
17934,,Ideal,G,VS2,61.7,57.0,7243.0,6.8,6.72,4.17,2022-09-13,Puerto Rico
17935,1.48,Very Good,H,SI2,62.3,58.0,7244.0,7.18,7.23,4.49,,Mali
17936,1.0,Premium,F,VS1,62.6,58.0,7244.0,6.4,6.37,4.0,2022-09-22,Puerto Rico
17937,1.05,Premium,F,VS2,62.3,59.0,7244.0,6.5,6.46,4.04,,Ethiopia
17938,1.61,Premium,J,SI2,62.2,59.0,7245.0,7.52,7.47,4.66,2022-09-04,Czech Republic
17939,1.21,Very Good,H,VS1,62.3,58.0,7246.0,6.71,6.74,4.19,2022-09-14,Austria
17940,1.25,Premium,H,VS2,60.4,59.0,7246.0,,6.96,,2022-09-16,Greenland
17941,1.05,Ideal,G,VS1,61.5,55.0,7247.0,6.56,6.59,4.04,2022-09-17,Palau
17942,1.07,Good,E,VS2,63.1,56.0,7250.0,6.49,6.54,4.11,2022-09-22,Costa Rica
17943,,Ideal,H,VS2,61.9,,7250.0,6.86,6.8,4.23,2022-09-04,Anguilla
17944,1.7,Premium,I,SI2,59.4,59.0,7250.0,7.83,7.75,4.63,2022-09-12,American Samoa
17945,1.03,Good,,VS1,63.3,59.0,7251.0,6.4,6.45,4.07,2022-09-08,Mauritius
17946,1.02,Very Good,E,VS1,58.9,59.0,7253.0,6.52,6.65,3.88,2022-09-16,Israel
17947,1.5,Ideal,I,SI2,60.6,,7253.0,7.37,7.48,4.5,,Tonga
17948,1.51,Premium,J,SI1,60.6,57.0,7255.0,7.46,,4.5,2022-09-15,Greenland
17949,1.06,Ideal,G,VS2,62.3,56.0,7255.0,6.49,6.54,4.06,2022-09-13,Angola
17950,1.51,Good,I,VVS2,63.6,58.0,7255.0,7.29,7.26,4.63,2022-09-27,France
17951,1.14,Ideal,G,VS1,62.5,56.0,7255.0,6.69,6.66,4.17,2022-09-07,Finland
17952,1.55,Premium,I,SI2,61.5,58.0,7256.0,7.39,7.46,4.57,2022-09-12,Burundi
17953,1.23,Ideal,I,VVS2,62.5,57.0,7256.0,,6.86,4.27,2022-09-14,Slovenia
17954,1.21,,F,SI1,61.6,59.0,7257.0,6.82,6.79,4.19,2022-09-10,Belize
17955,1.02,Very Good,D,VS2,62.9,,7257.0,6.37,6.42,4.02,2022-09-02,Turkey
17956,1.02,Very Good,F,VS1,61.9,59.0,7257.0,6.38,6.44,3.97,2022-09-13,Antarctica
17957,,Fair,G,I1,67.4,56.0,7257.0,8.05,7.99,5.41,2022-09-13,Zimbabwe
17958,1.01,Very Good,F,VS2,62.8,57.0,7258.0,6.34,6.44,4.01,2022-09-19,Saint Kitts And Nevis
17959,1.2,Premium,G,VS2,59.4,58.0,7258.0,6.91,6.85,4.09,2022-09-27,India
17960,1.2,Premium,G,VS2,59.6,58.0,7258.0,6.94,,4.12,2022-09-01,Albania
17961,2.0,Fair,F,I1,64.9,57.0,7258.0,7.99,7.82,5.14,2022-09-10,Guadeloupe
17962,1.5,Premium,J,SI1,61.7,59.0,7258.0,7.36,7.32,4.53,2022-09-23,Italy
17963,1.0,Premium,E,VS1,61.9,60.0,7260.0,6.41,6.44,3.98,2022-09-13,Costa Rica
17964,1.0,Very Good,G,VVS2,60.5,62.0,7260.0,,6.44,3.88,2022-09-19,Laos
17965,1.0,Good,E,VS1,63.6,59.0,7260.0,6.32,6.35,4.03,2022-09-02,Solomon Islands
17966,1.25,Premium,E,SI1,60.9,59.0,,6.98,7.02,4.26,2022-09-24,Turkey
17967,1.23,Ideal,H,VS2,62.2,55.0,7260.0,6.85,6.81,4.25,2022-09-06,Uruguay
17968,1.23,Ideal,H,VS2,62.3,,7260.0,6.86,6.79,4.25,2022-09-27,Yemen
17969,,Premium,E,SI1,62.6,58.0,7262.0,6.78,6.8,4.25,2022-09-19,Niger
17970,1.01,Ideal,,VS1,62.1,54.0,7262.0,,6.43,3.99,2022-09-12,Turkmenistan
17971,1.5,Premium,I,SI2,62.2,62.0,7266.0,7.27,7.2,4.5,2022-09-10,Morocco
17972,1.1,Ideal,H,,62.0,56.0,7267.0,6.59,6.63,4.1,2022-09-14,Trinidad And Tobago
17973,,Very Good,G,VVS2,63.2,59.0,7267.0,6.35,6.27,3.99,2022-09-16,Solomon Islands
17974,1.73,Premium,I,SI2,61.1,62.0,7270.0,7.64,,4.64,2022-09-11,Virgin Islands (British)
17975,1.32,,,SI1,62.3,57.0,7270.0,7.04,6.99,4.37,2022-09-03,Croatia
17976,1.05,Ideal,G,VS1,62.2,53.0,7270.0,6.51,6.55,4.06,2022-09-17,Namibia
17977,1.1,Very Good,F,VS2,62.7,58.5,,6.5,6.59,,2022-08-31,Norfolk Island
17978,,Ideal,E,SI2,62.7,55.0,7272.0,7.27,7.18,4.53,2022-09-07,Guinea-bissau
17979,1.2,Very Good,G,VS2,62.4,59.0,7273.0,6.68,6.74,4.19,2022-09-21,Bouvet Island
17980,1.07,Ideal,H,VVS1,,56.0,7273.0,6.56,6.68,4.06,2022-09-17,Sao Tome
17981,1.7,Ideal,H,SI2,62.1,57.0,7273.0,7.68,7.63,,2022-09-03,Nigeria
17982,1.23,Premium,E,SI1,59.2,62.0,7274.0,7.05,7.0,4.16,2022-09-21,Swaziland
17983,1.2,Premium,E,SI1,60.9,57.0,7274.0,6.86,6.8,4.16,2022-09-23,Sao Tome
17984,1.06,Premium,E,VS2,61.3,58.0,7275.0,6.52,6.56,4.01,2022-09-20,Kazakhstan
17985,1.07,Ideal,G,VS2,61.9,55.0,7275.0,6.55,6.57,4.06,2022-09-15,Thailand
17986,1.07,Ideal,G,VS2,61.4,57.0,7275.0,6.56,6.63,4.05,2022-09-17,Hong Kong
17987,1.06,Ideal,E,,61.9,55.0,7275.0,6.54,6.58,4.06,2022-09-24,Nauru
17988,1.14,Premium,F,VS2,62.0,59.0,7275.0,6.71,6.64,4.14,2022-09-07,Bosnia And Herzegowina
17989,1.11,Ideal,F,VS2,60.4,58.0,7275.0,6.73,6.66,4.04,2022-09-15,Australia
17990,1.23,Very Good,H,VS1,61.3,53.0,7276.0,,6.98,4.26,2022-09-27,Angola
17991,1.75,Ideal,H,I1,61.5,54.9,7276.0,7.75,,4.78,2022-09-08,Reunion
17992,1.05,Very Good,F,VS1,60.2,58.0,7276.0,,6.74,,2022-09-10,Tokelau
17993,1.31,Premium,H,VS2,62.5,58.0,7277.0,6.97,6.94,4.35,2022-08-31,Lebanon
17994,,Premium,F,VS2,61.2,57.5,7277.0,6.43,6.45,3.94,2022-09-28,Moldova
17995,1.02,Very Good,E,SI1,63.7,55.0,7277.0,6.29,6.4,4.04,2108-01-02,Ireland
17996,1.31,Ideal,G,SI1,63.4,57.0,7277.0,6.97,6.87,4.4,2022-09-06,Spain
17997,1.19,Premium,H,VS1,62.4,59.0,7277.0,6.79,6.73,4.22,2022-09-04,Guinea-bissau
17998,1.01,Very Good,D,VS2,62.8,57.0,7278.0,6.33,6.4,4.0,2022-09-22,Bulgaria
17999,1.21,Very Good,H,VS1,62.0,58.0,7279.0,6.76,6.91,4.24,2022-08-30,Malaysia
18000,1.21,Very Good,,VS1,62.4,60.0,7279.0,6.73,6.79,4.22,2022-09-08,Lebanon
18001,1.01,Good,G,,,59.0,7279.0,6.33,6.42,4.02,2022-09-08,Germany
18002,1.0,Premium,D,VS1,61.0,58.0,7280.0,,6.42,3.93,2022-09-04,Bolivia
18003,1.06,Premium,D,,59.6,60.0,7280.0,6.71,6.68,3.99,2022-09-11,Latvia
18004,1.0,Very Good,D,VS2,59.8,,7281.0,6.46,6.49,3.87,2022-09-25,Mayotte
18005,1.09,Very Good,G,VS1,60.0,57.0,7281.0,6.68,,4.02,2084-11-13,Swaziland
18006,1.0,Very Good,D,VS1,60.0,60.0,7281.0,6.44,6.49,3.88,2022-09-06,Montserrat
18007,1.2,Premium,F,SI1,60.1,59.0,7282.0,6.92,6.85,4.14,2022-09-02,Luxembourg
18008,1.32,Very Good,H,SI1,62.8,56.0,7283.0,6.94,7.0,4.38,2022-09-18,Brunei Darussalam
18009,1.05,Fair,G,VS1,65.6,58.0,7283.0,6.25,6.38,4.13,2022-09-24,Ireland
18010,1.22,Premium,H,VS1,58.9,59.0,7283.0,7.02,6.96,4.12,2022-09-06,Martinique
18011,1.47,Ideal,I,VS2,62.3,57.0,,7.24,7.3,4.53,2022-09-21,Solomon Islands
18012,0.9,Ideal,E,VVS2,62.8,54.0,,6.11,6.21,3.87,2022-09-10,Macau
18013,1.07,Ideal,F,SI1,61.5,,7286.0,6.58,6.62,4.06,2022-09-10,Andorra
18014,1.01,Premium,E,VS2,59.2,59.0,7287.0,6.67,6.6,3.93,2022-09-18,Zimbabwe
18015,1.54,Premium,,SI2,61.6,58.0,7287.0,7.45,7.3,4.57,2022-09-23,Iceland
18016,,Ideal,E,VS2,61.5,57.0,,6.44,6.48,3.97,2022-09-17,Yugoslavia
18017,1.36,Very Good,E,SI2,,59.0,7288.0,7.09,7.2,4.41,2022-09-23,St.Pierre
18018,1.25,Ideal,,SI2,62.3,58.0,7289.0,6.86,6.89,4.28,2022-09-01,Zimbabwe
18019,1.01,Very Good,E,VS2,59.5,60.0,7290.0,6.5,6.54,3.88,2022-09-03,Tanzania
18020,1.01,Ideal,G,VS1,61.2,57.0,7290.0,6.42,6.47,3.95,2022-09-04,Angola
18021,1.13,Ideal,G,VS2,61.6,57.0,7290.0,6.7,6.68,4.12,2094-11-14,Malawi
18022,1.5,Good,F,SI2,,,7291.0,7.15,7.11,4.57,2022-09-14,Honduras
18023,1.5,Very Good,H,SI2,62.0,63.0,7291.0,7.28,7.24,4.5,2022-09-11,Ireland
18024,1.5,Good,H,SI2,64.2,56.0,7291.0,7.26,7.2,4.64,2022-09-21,Azerbaijan
18025,1.24,Fair,D,SI1,55.6,67.0,7291.0,7.27,7.11,4.0,2022-09-10,Kiribati
18026,1.5,Premium,H,SI2,62.3,59.0,7291.0,7.27,7.21,4.52,2104-08-27,Israel
18027,1.5,Good,H,SI2,64.2,61.0,7291.0,7.15,7.1,4.57,,Qatar
18028,1.02,Very Good,G,VVS2,61.3,59.0,7292.0,6.46,6.53,3.98,2022-09-15,Tokelau
18029,1.09,Ideal,G,VS2,62.8,57.0,7292.0,6.54,6.58,4.12,2022-09-19,Korea (North)
18030,1.02,Good,G,VVS2,62.3,60.0,7292.0,6.38,6.49,,2022-09-10,Burundi
18031,0.35,Ideal,I,VVS2,62.3,57.0,614.0,4.49,4.53,2.81,2022-09-07,Bolivia
18032,0.35,Premium,H,VS1,61.7,59.0,614.0,4.51,4.53,2.79,2022-09-19,Seychelles
18033,0.35,,E,SI1,61.1,59.0,614.0,4.5,4.56,2.77,2022-09-17,Tokelau
18034,0.35,Premium,H,VS1,,59.0,614.0,4.45,4.5,2.8,2022-09-04,Puerto Rico
18035,0.35,Ideal,,,61.2,57.0,614.0,4.52,4.56,2.78,2022-08-30,Macedonia
18036,0.35,Ideal,E,SI1,62.3,56.0,614.0,4.53,4.56,2.83,2022-09-13,Indonesia
18037,0.35,Premium,H,VS1,61.3,59.0,614.0,4.54,4.57,2.79,2022-09-13,Thailand
18038,0.35,Very Good,E,SI1,62.7,57.0,614.0,4.47,4.52,2.82,2022-09-25,Malaysia
18039,0.35,Very Good,E,SI1,61.9,58.0,614.0,4.49,4.52,2.79,2022-09-24,Finland
18040,0.35,Ideal,E,SI1,60.9,55.0,614.0,4.53,4.57,2.77,2022-09-13,Thailand
18041,0.35,Very Good,E,SI1,62.9,58.0,614.0,4.48,4.52,2.83,2022-08-31,Panama
18042,0.3,Good,E,VS2,63.4,56.0,614.0,4.26,4.29,2.71,2022-09-18,Lithuania
18043,0.35,Premium,E,SI1,59.7,60.0,614.0,4.53,4.58,2.72,2022-09-08,Kuwait
18044,0.35,Premium,E,SI1,61.2,58.0,,4.53,4.59,2.79,2022-09-25,Jamaica
18045,0.35,,E,SI1,60.7,59.0,614.0,,4.57,2.76,2098-03-21,Liechtenstein
18046,,Very Good,E,VS2,62.6,62.0,614.0,4.21,4.25,2.65,2022-09-07,Denmark
18047,0.35,Ideal,H,VS1,,56.0,,4.54,4.56,2.82,2022-09-23,Togo
18048,0.35,Ideal,,SI1,61.0,57.0,614.0,4.54,4.57,2.78,2022-09-03,Micronesia
18049,0.35,Premium,E,SI1,60.8,60.0,614.0,4.51,4.57,2.76,2022-09-27,Turkmenistan
18050,0.36,Very Good,E,SI1,59.9,60.0,615.0,4.59,4.62,2.76,2022-09-11,Portugal
18051,0.35,Ideal,G,VS2,62.5,53.0,615.0,4.53,4.56,2.84,2022-09-09,Lebanon
18052,0.34,Ideal,,VS1,62.4,55.0,615.0,,4.5,2.8,2099-04-18,Antarctica
18053,0.3,Ideal,F,VS1,62.3,54.0,615.0,4.31,4.33,2.69,2022-09-18,Zimbabwe
18054,0.3,Ideal,I,IF,62.0,57.0,615.0,4.28,4.3,2.66,2022-09-21,Canada
18055,0.3,Ideal,I,IF,62.5,56.0,615.0,4.26,4.28,2.67,2022-09-24,Netherlands Antilles
18056,0.33,Very Good,D,VS2,60.8,60.0,615.0,4.52,4.46,2.73,2022-09-09,French S. Territories
18057,0.32,Very Good,F,VS1,62.2,55.0,616.0,4.37,4.39,2.72,2022-09-06,Kiribati
18058,0.34,Ideal,G,VS2,60.8,56.0,616.0,4.53,4.55,2.76,2022-09-05,Netherlands Antilles
18059,0.34,Ideal,,VS2,61.4,55.0,616.0,4.51,4.54,2.78,2022-09-26,Venezuela
18060,0.36,Premium,F,SI1,61.1,60.0,616.0,4.62,4.57,2.81,,Monaco
18061,1.51,Premium,I,SI2,62.6,,,7.31,7.28,4.57,2022-09-01,Colombia
18062,1.51,Premium,I,SI2,58.7,59.0,7292.0,7.53,7.49,4.41,2022-09-16,American Samoa
18063,1.14,Very Good,F,VS2,58.3,60.0,7293.0,6.87,6.91,4.02,2022-09-14,Cuba
18064,1.01,Good,E,VVS2,64.2,57.0,7293.0,6.3,6.34,4.06,,Eritrea
18065,1.2,Ideal,H,VS1,62.0,57.0,7294.0,6.69,6.76,4.17,,Saint Kitts And Nevis
18066,1.04,Ideal,G,VS1,61.7,57.0,7294.0,6.47,6.53,4.01,2022-09-06,Comoros
18067,1.04,Ideal,G,,61.5,56.0,7294.0,6.53,6.57,4.03,2022-09-06,Yemen
18068,2.01,Fair,F,I1,58.7,66.0,7294.0,8.3,8.19,4.84,,Uzbekistan
18069,1.08,Ideal,G,VS2,62.3,57.0,7295.0,6.53,,4.08,2022-09-10,Aruba
18070,1.03,Ideal,F,VS1,60.7,56.0,7296.0,6.54,6.6,3.99,2022-09-25,Sri Lanka
18071,1.27,Ideal,H,SI1,59.8,57.0,7297.0,7.08,7.01,4.22,2022-09-26,Belize
18072,1.23,Ideal,I,VVS2,,55.0,7299.0,6.86,6.89,4.26,2022-09-02,Romania
18073,1.5,Fair,G,SI1,56.1,62.0,7300.0,7.6,7.52,4.24,2022-08-31,Marshall Islands
18074,1.33,Premium,H,SI1,61.9,58.0,7302.0,7.04,6.98,4.34,,Marshall Islands
18075,1.63,Premium,I,SI1,61.5,60.0,7302.0,7.59,7.54,4.65,2022-09-27,Afghanistan
18076,1.01,Good,D,,62.2,62.0,7303.0,6.29,6.41,3.95,2022-09-04,Ukraine
18077,1.52,,I,VVS2,64.9,56.0,7303.0,7.28,7.21,4.7,2022-09-26,Barbados
18078,,Good,I,SI2,63.3,60.0,,7.31,7.34,4.64,2022-08-31,Bermuda
18079,1.25,Very Good,H,,62.1,56.0,7305.0,6.91,,4.31,2022-09-12,Algeria
18080,1.34,Premium,D,SI2,,58.0,7305.0,7.04,7.07,4.34,2022-09-25,Iran
18081,1.01,Very Good,E,VS1,62.6,,7306.0,6.28,6.37,3.96,2022-09-16,Syrian Arab Republic
18082,1.01,Good,G,VVS2,58.2,55.0,7306.0,6.65,6.68,3.88,2022-09-11,Pakistan
18083,1.5,Very Good,J,VS2,60.5,63.0,7308.0,7.32,7.27,4.41,2022-09-21,Bolivia
18084,1.5,Good,J,VS2,63.6,58.0,7308.0,7.23,7.2,4.59,2109-10-17,Syrian Arab Republic
18085,1.5,Premium,J,,61.7,,7308.0,7.33,7.23,4.49,2022-09-21,Austria
18086,1.2,Very Good,E,,62.7,57.0,7310.0,6.7,6.79,4.23,2022-09-13,Belgium
18087,1.11,Premium,F,VS1,62.8,56.0,7310.0,6.62,6.57,4.14,2022-09-03,Hungary
18088,1.22,Premium,,VS2,60.8,59.0,7310.0,6.93,6.86,4.19,2022-09-14,Sudan
18089,1.39,Premium,E,SI2,,58.0,7311.0,6.99,7.11,4.42,,Samoa
18090,1.02,,,VS2,,59.0,7311.0,6.56,6.54,3.93,2087-01-02,Gambia
18091,1.27,Very Good,I,VS2,59.2,60.0,7312.0,7.11,7.08,4.2,2022-08-30,Lithuania
18092,1.23,Very Good,H,SI1,62.5,56.0,7313.0,6.79,6.82,4.25,,Virgin Islands (U.S.)
